; y;;;;
1999,00; 23.754509777674766;;;#REF!;
2000,00; 23.39350116072834;;;#REF!;
2001,00; 22.888083808758903;;;#REF!;
2002,00; 24.981950973842608;;;#REF!;
2003,00; 27.003607161109258;;;#REF!;
2004,00; 23.68231202046881;;;#REF!;
2005,00; 24.765344481613642;;;#REF!;
2006,00; 26.931409403903302;;;#REF!;
2007,00; 23.032492543781913;;;#REF!;
2008,00; 24.259927129644204;;;#REF!;
2009,00; 24.04332063741524;;;#REF!;
2010,00; 23.24909903601088;;;#REF!;
2011,00; 26.425992051933864;;;#REF!;
2012,00; 22.815886051552948;;;#REF!;
2013,00; 22.31046869958351;;;#REF!;
2014,00; 17.906134487492682;;;#REF!;
2015,00; 20.361010269522815;;;#REF!;
2016,00; 17.978338855004186;;;#REF!;
2017,00; 17.689527995263717;;;#REF!;
2018,00; 17.833936730286727;;;#REF!;
2019,00; 17.256315010805782;;;#REF!;
2020,00; 16.173282549660954;;;#REF!;
2021,00; 15.812273932714525;;;#REF!;
2022,00; 17.47292150303475;;;#REF!;
2023,00; 15.667871807997065;;;#REF!;
