Canton,Year,PM 10,NO2
Zug,2007,20.4,32.2
Zug,2008,19.6,33.5
Zug,2009,20.6,33.3
Zug,2010,22.7,33.7
Zug,2011,23.8,31.7
Zug,2012,18.4,32.3
Zug,2013,20.9,33.1
Zug,2014,18.2,30.7
Zug,2015,19.8,32.6
Zug,2016,15.4,28.8
Zug,2017,14.0,27.3
Zug,2018,16.7,25.2
Zug,2019,15.8,
Zug,2020,12.5,22.0
Zug,2021,13.0,21.1
Zug,2022,13.8,20.0
Zurich,2007,24,35.4
Zurich,2008,23,35.6
Zurich,2009,24,36.9
Zurich,2010,22,36.1
Zurich,2011,22,35.3
Zurich,2012,20,33.9
Zurich,2013,22,33.8
Zurich,2014,17,33.0
Zurich,2015,18,33.5
Zurich,2016,16,31.4
Zurich,2017,16,30.4
Zurich,2018,18,28.5
Zurich,2019,15,26.3
Zurich,2020,14,22.2
Zurich,2021,14,22.0
Zurich,2022,15,21.4
Bern,2007,25.0,30.9
Bern,2008,24.8,30.2
Bern,2009,26.3,30.9
Bern,2010,23.4,29.4
Bern,2011,24.8,27.4
Bern,2012,21.9,27.7
Bern,2013,23.0,27.5
Bern,2014,,24.7
Bern,2015,,24.3
Bern,2016,,
Bern,2017,16.7,20.9
Bern,2018,15.3,18.3
Bern,2019,12.6,17.9
Bern,2020,11.7,15.5
Bern,2021,13.7,15.7
Bern,2022,,15.3
Jura,2007,20.3,16.0
Jura,2008,19.5,10.9
Jura,2009,19.5,14.9
Jura,2010,19.9,15.7
Jura,2011,19.0,14.6
Jura,2012,18.8,16.7
Jura,2013,18.3,17.0
Jura,2014,16.7,19.1
Jura,2015,18.1,18.0
Jura,2016,15.8,14.8
Jura,2017,16.0,13.8
Jura,2018,16.0,13.8
Jura,2019,14.6,13.6
Jura,2020,15.9,11.4
Jura,2021,16.1,12.0
Jura,2022,16.9,12.4
Uri,2007,18.1,25.5
Uri,2008,17.4,26.3
Uri,2009,18.4,24.9
Uri,2010,17.8,23.8
Uri,2011,18.8,25.3
Uri,2012,14.7,25.7
Uri,2013,17.9,24.4
Uri,2014,14.0,22.8
Uri,2015,15.1,25.2
Uri,2016,11.5,21.3
Uri,2017,12.8,20.5
Uri,2018,13.6,19.5
Uri,2019,11.9,18.0
Uri,2020,12.6,16.6
Uri,2021,11.4,16.1
Uri,2022,12.9,16.9
Neuchâtel,2007,,30.0
Neuchâtel,2008,19.0,31.0
Neuchâtel,2009,18.0,30.0
Neuchâtel,2010,16.0,30.0
Neuchâtel,2011,19.0,30.0
Neuchâtel,2012,15.0,29.0
Neuchâtel,2013,16.0,30.0
Neuchâtel,2014,13.0,29.0
Neuchâtel,2015,16.0,29.0
Neuchâtel,2016,15.0,26.0
Neuchâtel,2017,15.0,28.0
Neuchâtel,2018,15.0,26.0
Neuchâtel,2019,13.0,24.0
Neuchâtel,2020,13.0,19.0
Neuchâtel,2021,13.0,23.0
Neuchâtel,2022,14.0,18.0
